,date,call_rate,date_1m_bf,call_rate_1m_bf,Labeling
0,2008.02.29,4.94,2008.01.29,None,None
1,2008.03.01,4.94,2008.02.01,None,None
2,2008.03.02,4.94,2008.02.02,None,None
3,2008.03.03,4.94,2008.02.03,None,None
4,2008.03.04,4.95,2008.02.04,None,None
5,2008.03.05,4.94,2008.02.05,None,None
6,2008.03.06,5.0,2008.02.06,None,None
7,2008.03.07,5.0,2008.02.07,None,None
8,2008.03.08,5.0,2008.02.08,None,None
9,2008.03.09,5.0,2008.02.09,None,None
10,2008.03.10,4.99,2008.02.10,None,None
11,2008.03.11,4.99,2008.02.11,None,None
12,2008.03.12,4.98,2008.02.12,None,None
13,2008.03.13,4.98,2008.02.13,None,None
14,2008.03.14,4.98,2008.02.14,None,None
15,2008.03.15,4.98,2008.02.15,None,None
16,2008.03.16,4.98,2008.02.16,None,None
17,2008.03.17,4.96,2008.02.17,None,None
18,2008.03.18,4.99,2008.02.18,None,None
19,2008.03.19,4.94,2008.02.19,None,None
20,2008.03.20,4.98,2008.02.20,None,None
21,2008.03.21,4.98,2008.02.21,None,None
22,2008.03.22,4.98,2008.02.22,None,None
23,2008.03.23,4.98,2008.02.23,None,None
24,2008.03.24,4.97,2008.02.24,None,None
25,2008.03.25,4.97,2008.02.25,None,None
26,2008.03.26,4.94,2008.02.26,None,None
27,2008.03.27,4.94,2008.02.27,None,None
28,2008.03.28,4.96,2008.02.28,None,None
29,2008.03.29,4.96,2008.02.29,4.94,None
30,2008.03.30,4.96,2008.02.29,4.94,None
31,2008.03.31,4.98,2008.02.29,4.94,Up
32,2008.04.01,4.97,2008.03.01,4.94,None
33,2008.04.02,5.0,2008.03.02,4.94,Up
34,2008.04.03,5.01,2008.03.03,4.94,Up
35,2008.04.04,5.1,2008.03.04,4.95,Up
36,2008.04.05,5.1,2008.03.05,4.94,Up
37,2008.04.06,5.1,2008.03.06,5.0,Up
38,2008.04.07,5.04,2008.03.07,5.0,Up
39,2008.04.08,5.03,2008.03.08,5.0,Up
40,2008.04.09,5.03,2008.03.09,5.0,Up
41,2008.04.10,4.98,2008.03.10,4.99,None
42,2008.04.11,5.0,2008.03.11,4.99,None
43,2008.04.12,5.0,2008.03.12,4.98,None
44,2008.04.13,5.0,2008.03.13,4.98,None
45,2008.04.14,5.0,2008.03.14,4.98,None
46,2008.04.15,5.0,2008.03.15,4.98,None
47,2008.04.16,5.0,2008.03.16,4.98,None
48,2008.04.17,5.0,2008.03.17,4.96,Up
49,2008.04.18,5.0,2008.03.18,4.99,None
50,2008.04.19,5.0,2008.03.19,4.94,Up
51,2008.04.20,5.0,2008.03.20,4.98,None
52,2008.04.21,4.97,2008.03.21,4.98,None
53,2008.04.22,4.98,2008.03.22,4.98,Same
54,2008.04.23,4.98,2008.03.23,4.98,Same
55,2008.04.24,5.0,2008.03.24,4.97,Up
56,2008.04.25,4.96,2008.03.25,4.97,None
57,2008.04.26,4.96,2008.03.26,4.94,None
58,2008.04.27,4.96,2008.03.27,4.94,None
59,2008.04.28,4.89,2008.03.28,4.96,Down
60,2008.04.29,4.94,2008.03.29,4.96,None
61,2008.04.30,4.95,2008.03.30,4.96,None
62,2008.05.01,4.95,2008.04.01,4.97,None
63,2008.05.02,4.96,2008.04.02,5.0,Down
64,2008.05.03,4.96,2008.04.03,5.01,Down
65,2008.05.04,4.96,2008.04.04,5.1,Down
66,2008.05.05,4.96,2008.04.05,5.1,Down
67,2008.05.06,5.19,2008.04.06,5.1,Up
68,2008.05.07,5.18,2008.04.07,5.04,Up
69,2008.05.08,5.01,2008.04.08,5.03,None
70,2008.05.09,5.0,2008.04.09,5.03,Down
