word,up,down,total,polar_score,polarity
순기능/NNG,11,19,30,0.5247467894831536,Dovish
유럽의회/NNG,17,41,58,0.3758164368138772,Dovish
건국/NNG,12,20,32,0.5438284909189046,Dovish
금/NNG;가격/NNG;오르/VV,7,17,24,0.37321563102277766,Dovish
용적률/NNG,29,83,112,0.3166872738282779,Dovish
호호/MAG,16,25,41,0.5800837236468316,Dovish
영치/NNG,2,15,17,0.1208507757597566,Dovish
일괄/NNG,37,48,85,0.6986685473610927,Dovish
캐캐캐/MAG,10,34,44,0.26658259358769837,Dovish
예상/NNG;치였/VV;증가/NNG,3,23,26,0.11822358498237058,Dovish
성수기/NNG,16,28,44,0.5179318961132426,Dovish
더해져/VV,57,68,125,0.7597603917249404,Dovish
시스템/NNG;위험/NNG;확대/NNG,8,11,19,0.6591860495986723,Dovish
단기/NNG;금리/NNG;안정/NNG,10,14,24,0.6474148701415533,Dovish
경이/NNG,9,12,21,0.6797856136486309,Dovish
경영전략/NNG,12,15,27,0.7251046545585396,Dovish
의외/NNG,33,41,74,0.7295260244034087,Dovish
클린에너지/NNG,7,20,27,0.31723328636936104,Dovish
소맥/NNG,28,35,63,0.7251046545585396,Dovish
유동성/NNG;우려/NNG,23,32,55,0.6514612130799379,Dovish
대위변제/NNG,22,36,58,0.5538993888988843,Dovish
금조/NNG,13,21,34,0.5610928874560127,Dovish
채권스왑/NNG,143,185,328,0.7006078756883187,Dovish
연고점/NNG;높/VV,6,11,17,0.49438953719900425,Dovish
호피/NNG,7,18,25,0.3524814292992901,Dovish
불안/NNG;조짐/NNG,7,16,23,0.3965416079617013,Dovish
절대/MAG;금리/NNG;높/VA,12,20,32,0.5438284909189046,Dovish
무릅쓰/VV,4,13,17,0.2788864055994383,Dovish
학학/NNG,12,18,30,0.604253878798783,Dovish
장단기스프레드/NNG;확대/NNG,60,76,136,0.715563803840664,Dovish
포커/NNG,3,29,32,0.09376353291705251,Dovish
호응/NNG,22,28,50,0.7121563571557085,Dovish
엿보이/VV,6,19,25,0.2862255215362656,Dovish
비록/MAG,111,145,256,0.6938501435861887,Dovish
중고/NNG,26,35,61,0.6733114649472153,Dovish
인플레이션/NNG;견조/NNG,9,11,20,0.7415843057985064,Dovish
성적표/NNG,26,38,64,0.6201552966619088,Dovish
금리/NNG;상승/NNG;충격/NNG,5,14,19,0.32370743507077665,Dovish
재정/NNG;적자/NNG,76,97,173,0.7101540431243428,Dovish
전망/NNG;금리/NNG;하락/NNG,15,19,34,0.715563803840664,Dovish
응할/VV,5,12,17,0.3776586742492394,Dovish
공급/NNG;우려/NNG,27,33,60,0.7415843057985064,Dovish
물가/NNG;안정/NNG;목표/NNG;하단/NNG,6,12,18,0.4531904090990872,Dovish
주봉/NNG,18,26,44,0.6274944125987362,Dovish
경기/NNG;지표/NNG;호조/NNG,7,10,17,0.6344665727387221,Dovish
기대/NNG;하향/NNG,10,12,22,0.7553173484984788,Dovish
순매수우위/NNG,11,15,26,0.6646792666786613,Dovish
뒤따라/VV,10,12,22,0.7553173484984788,Dovish
미래/NNG,718,1031,1749,0.6312137996763232,Dovish
정황/NNG,22,40,62,0.4985094500089959,Dovish
휘청이/VV,7,19,26,0.3339297751256432,Dovish
물가/NNG;인상/NNG,8,13,21,0.5577728111988766,Dovish
비준/NNG,19,28,47,0.6150441266344755,Dovish
이전/NNG;완화/NNG,6,13,19,0.4183296083991574,Dovish
저리/NNG,36,45,81,0.7251046545585396,Dovish
판매/NNG;호조/NNG,13,24,37,0.49095627652401114,Dovish
도박/NNG,10,12,22,0.7553173484984788,Dovish
육상/NNG,42,55,97,0.692145352078606,Dovish
