word,up,down,total,polar_score,polarity
경기/NNG;침체/NNG;우려/NNG;확대/NNG,20,7,27,2.589659480566213,Hawkish
캥거루본드/NNG,24,1,25,21.753139636756185,Hawkish
병목/NNG,58,22,80,2.3895494297951876,Hawkish
인플레이션/NNG;금리/NNG;인하/NNG,24,15,39,1.4502093091170791,Hawkish
국고채/NNG;입찰/NNG;호조/NNG,22,11,33,1.8127616363963488,Hawkish
순유입액/NNG,24,12,36,1.8127616363963488,Hawkish
기대/NNG;밑돌/VV,13,7,20,1.6832786623680382,Hawkish
스태그플레이션/NNG,361,137,498,2.3883465355440947,Hawkish
수출/NNG;호조/NNG,101,52,153,1.760470435346454,Hawkish
사회주의/NNG,13,6,19,1.9638251060960445,Hawkish
현주소/NNG,13,9,22,1.309216737397363,Hawkish
위험/NNG;높/VV,29,18,47,1.460280207097059,Hawkish
구하/VV,53,36,89,1.3343939823473125,Hawkish
건설/NNG;투자/NNG;회복/NNG,13,7,20,1.6832786623680382,Hawkish
더디/VV,41,27,68,1.3763560572638944,Hawkish
인플레이션/NNG;물가/NNG;상승/NNG;압력/NNG,13,8,21,1.4728688295720334,Hawkish
설날/NNG,17,8,25,1.9260592386711206,Hawkish
부동산/NNG;경기/NNG;둔화/NNG,35,19,54,1.6696488756282162,Hawkish
학군/NNG,15,6,21,2.265952045495436,Hawkish
양호/NNG;성장/NNG,55,38,93,1.311866973707884,Hawkish
연체율/NNG;높/VA,16,10,26,1.4502093091170791,Hawkish
격변/NNG,18,7,25,2.3306935325095917,Hawkish
봉쇄/NNG,238,110,348,1.9610784975560502,Hawkish
인상/NNG;선호/NNG,16,8,24,1.8127616363963488,Hawkish
공동선언문/NNG,52,4,56,11.782950636576267,Hawkish
닉스/NNG,34,22,56,1.4007703553971786,Hawkish
대면/NNG,62,35,97,1.6055888779510519,Hawkish
양수/NNG,41,21,62,1.7696006450535784,Hawkish
경기/NNG;하방/NNG;위험/NNG;확대/NNG,21,8,29,2.379249647770208,Hawkish
대입/NNG,49,33,82,1.3458381845972893,Hawkish
할인채/NNG,155,89,244,1.5785283912440116,Hawkish
이이/NNG,14,5,19,2.5378662909548884,Hawkish
말일/NNG,18,12,30,1.3595712272972618,Hawkish
국채/NNG;입찰/NNG;호조/NNG,18,2,20,8.15742736378357,Hawkish
듀레이션갭/NNG,13,9,22,1.309216737397363,Hawkish
월보/NNG,52,35,87,1.3466229298944306,Hawkish
첨단산업/NNG,16,6,22,2.417015515195132,Hawkish
인하/NNG;지연/NNG,26,13,39,1.8127616363963488,Hawkish
질질/MAG,177,117,294,1.3711914941972383,Hawkish
대출태도/NNG,396,186,582,1.929714000034823,Hawkish
금리/NNG;인하/NNG;경계/NNG,25,13,38,1.7430400349964892,Hawkish
예상/NNG;높/VA,174,121,295,1.3033905980701022,Hawkish
만한/NNG,49,33,82,1.3458381845972893,Hawkish
창의/NNG,13,8,21,1.4728688295720334,Hawkish
행지/NNG,29,18,47,1.460280207097059,Hawkish
gdp/NNG;부진/NNG,21,12,33,1.5861664318468052,Hawkish
국제/NNG;유가/NNG;급등/NNG,52,30,82,1.5710600848768357,Hawkish
상방/NNG;위험/NNG;크/VV,15,3,18,4.531904090990872,Hawkish
두렵/VA,33,23,56,1.3004594348060765,Hawkish
생산설비/NNG,46,29,75,1.4377075047281387,Hawkish
연대채무/NNG,19,1,20,17.221235545765314,Hawkish
꺼리/VV,32,22,54,1.3183720991973447,Hawkish
변신/NNG,16,8,24,1.8127616363963488,Hawkish
따라오/VV,14,4,18,3.1723328636936103,Hawkish
보보/NNG,226,113,339,1.8127616363963486,Hawkish
천명/NNG,28,19,47,1.3357191005025728,Hawkish
대출/NNG;소폭/MAG;증가/NNG,37,11,48,3.0487354793938595,Hawkish
수요/NNG;충족/NNG,20,13,33,1.3944320279971913,Hawkish
법정최고금리/NNG,13,9,22,1.309216737397363,Hawkish
근원/NNG;물가/NNG;하락/NNG,24,12,36,1.8127616363963488,Hawkish
빈일자리/NNG,59,16,75,3.342279267105768,Hawkish
가공/NNG,67,39,106,1.5571157645968636,Hawkish
막연/NNG,28,18,46,1.4099257171971604,Hawkish
관성/NNG,44,17,61,2.3459268235717454,Hawkish
긴축/NNG;위험/NNG,15,10,25,1.3595712272972615,Hawkish
기지/NNG,76,49,125,1.4058151465930868,Hawkish
전망/NNG;침체/NNG,15,3,18,4.531904090990872,Hawkish
위원수/NNG,26,14,40,1.6832786623680382,Hawkish
채광/NNG,11,7,18,1.424312714311417,Hawkish
경과/NNG,130,87,217,1.3543621421352032,Hawkish
마진/NNG;축소/NNG,18,11,29,1.4831686115970129,Hawkish
성장/NNG;추세/NNG,23,16,39,1.3029224261598757,Hawkish
경제/NNG;성장/NNG;개선/NNG,24,10,34,2.1753139636756185,Hawkish
구주/NNG,19,11,30,1.5655668677968468,Hawkish
적립식/NNG,20,13,33,1.3944320279971913,Hawkish
메사/NNG,14,6,20,2.1148885757957405,Hawkish
대북/NNG,68,23,91,2.679734592933733,Hawkish
인도분/NNG,200,99,299,1.8310723599963121,Hawkish
공매도/NNG,101,50,151,1.8308892527603122,Hawkish
후행/NNG,278,158,436,1.594771313032231,Hawkish
노동시장/NNG;둔화/NNG,22,13,35,1.5338752307969103,Hawkish
표수/NNG,16,7,23,2.0717275844529706,Hawkish
상승률/NNG;둔화/NNG,49,30,79,1.4804220030570183,Hawkish
오프닝/NNG,120,80,200,1.3595712272972615,Hawkish
인플레이션/NNG;고점/NNG,15,8,23,1.699464034121577,Hawkish
순포지션/NNG,139,21,160,5.999377796645059,Hawkish
축기/NNG,18,3,21,5.438284909189047,Hawkish
레이더/NNG,16,7,23,2.0717275844529706,Hawkish
산업혁명/NNG,12,6,18,1.8127616363963488,Hawkish
인플레이션/NNG;압력/NNG;높/VV,12,7,19,1.5537956883397277,Hawkish
기온/NNG,71,44,115,1.462569047547054,Hawkish
공급/NNG;압력/NNG,13,6,19,1.9638251060960445,Hawkish
커지/NNG,14,9,23,1.4099257171971604,Hawkish
롤링/NNG,16,9,25,1.6113436767967546,Hawkish
농지/NNG,28,6,34,4.229777151591481,Hawkish
멈춰/VV,26,17,43,1.3862294866560314,Hawkish
유해/NNG,13,8,21,1.4728688295720334,Hawkish
새새/NNG,14,9,23,1.4099257171971604,Hawkish
면면/NNG,457,232,689,1.7854139392955417,Hawkish
산지/NNG,19,4,23,4.3053088864413285,Hawkish
난망/NNG,17,10,27,1.5408473909368965,Hawkish
유가/NNG;상승/NNG,195,120,315,1.4728688295720336,Hawkish
직원수/NNG,24,5,29,4.350627927351237,Hawkish
한번/MAG,56,32,88,1.5861664318468052,Hawkish
통화유통속도/NNG,36,6,42,5.438284909189047,Hawkish
시장원리/NNG,19,5,24,3.444247109153063,Hawkish
안건/NNG,70,35,105,1.8127616363963488,Hawkish
소집/NNG,39,23,62,1.5369066047708175,Hawkish
보편/NNG,28,18,46,1.4099257171971604,Hawkish
손익/NNG,442,298,740,1.344363495448299,Hawkish
비관주의/NNG,48,1,49,43.50627927351237,Hawkish
소비/NNG;여력/NNG;감소/NNG,11,7,18,1.424312714311417,Hawkish
가근/NNG,40,16,56,2.2659520454954363,Hawkish
비상금/NNG,16,5,21,2.9004186182341583,Hawkish
금리/NNG;성장/NNG,15,6,21,2.265952045495436,Hawkish
금융시장/NNG;완화/NNG,17,10,27,1.5408473909368965,Hawkish
수요/NNG;둔화/NNG,129,60,189,1.948718759126075,Hawkish
척결/NNG,15,8,23,1.699464034121577,Hawkish
효력/NNG,29,18,47,1.460280207097059,Hawkish
영주/NNG,240,73,313,2.979882142021395,Hawkish
고용/NNG;지표/NNG;양호/NNG,16,9,25,1.6113436767967546,Hawkish
니리/NNG,16,7,23,2.0717275844529706,Hawkish
국무총리/NNG,33,7,40,4.272938142934252,Hawkish
자증/NNG,102,51,153,1.8127616363963488,Hawkish
주택수/NNG,137,10,147,12.417417209314989,Hawkish
친구/NNG,72,16,88,4.078713681891785,Hawkish
현금배당/NNG,28,15,43,1.6919108606365922,Hawkish
스위트/NNG,18,6,24,2.7191424545945235,Hawkish
자금/NNG;조달/NNG;여건/NNG;악화/NNG,17,9,26,1.7120526565965517,Hawkish
숏커버링/NNG,33,23,56,1.3004594348060765,Hawkish
수상/NNG,44,27,71,1.4770650370636915,Hawkish
가격/NNG;높/VV,13,9,22,1.309216737397363,Hawkish
소비자/NNG;물가/NNG;금리/NNG;인하/NNG,11,6,17,1.661698166696653,Hawkish
숙박/NNG,158,81,239,1.7680020898186612,Hawkish
광모/NNG,13,8,21,1.4728688295720334,Hawkish
뜨뜻미지근/NNG,40,2,42,18.12761636396349,Hawkish
넉넉/NNG,58,40,98,1.314252186387353,Hawkish
품귀/NNG,12,8,20,1.3595712272972615,Hawkish
낯선/VA,26,10,36,2.3565901273152536,Hawkish
물가/NNG;금리/NNG;인하/NNG,26,8,34,2.9457376591440667,Hawkish
불확실성/NNG;증가/NNG,34,20,54,1.5408473909368965,Hawkish
글로벌/NNG;경기/NNG;부진/NNG,17,8,25,1.9260592386711206,Hawkish
블랙/NNG,27,18,45,1.3595712272972618,Hawkish
종교/NNG,23,16,39,1.3029224261598757,Hawkish
매트릭스/NNG,28,18,46,1.4099257171971604,Hawkish
내내년/NNG,48,27,75,1.6113436767967546,Hawkish
메리/NNG,12,7,19,1.5537956883397277,Hawkish
인선/NNG,29,17,46,1.5461790428086506,Hawkish
영업자산/NNG,152,61,213,2.2585226945265986,Hawkish
회색/NNG,73,21,94,3.1507523680222254,Hawkish
대학원/NNG,59,22,81,2.4307485578951042,Hawkish
경상/NNG;흑자/NNG,14,6,20,2.1148885757957405,Hawkish
여력/NNG;제한/NNG,41,21,62,1.7696006450535784,Hawkish
반문/NNG,14,9,23,1.4099257171971604,Hawkish
국상/NNG,14,9,23,1.4099257171971604,Hawkish
